province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
England,United Kingdom,2021-12-28,52.3555,-1.1743,POINT(-1.1743 52.3555),10545584,128686,,,,,"England, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-28,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3283,26,,,,,"Turks and Caicos Islands, United Kingdom"
Isle of Man,United Kingdom,2021-12-28,54.2361,-4.5481,POINT(-4.5481 54.2361),13487,67,,,,,"Isle of Man, United Kingdom"
Cayman Islands,United Kingdom,2021-12-28,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
Anguilla,United Kingdom,2021-12-28,18.2206,-63.0686,POINT(-63.0686 18.2206),1674,5,,,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-12-28,52.1307,-3.7837,POINT(-3.7837 52.1307),594753,6551,,,,,"Wales, United Kingdom"
Gibraltar,United Kingdom,2021-12-28,36.1408,-5.3536,POINT(-5.3536 36.1408),8297,100,,,,,"Gibraltar, United Kingdom"
Bermuda,United Kingdom,2021-12-28,32.3078,-64.7505,POINT(-64.7505 32.3078),6064,106,,,,,"Bermuda, United Kingdom"
Scotland,United Kingdom,2021-12-28,56.4907,-4.2026,POINT(-4.2026 56.4907),831158,9822,,,,,"Scotland, United Kingdom"
Channel Islands,United Kingdom,2021-12-28,49.3723,-2.3644,POINT(-2.3644 49.3723),23627,112,,,,,"Channel Islands, United Kingdom"
Northern Ireland,United Kingdom,2021-12-28,54.7877,-6.4923,POINT(-6.4923 54.7877),367181,2962,,,,,"Northern Ireland, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-28,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Montserrat,United Kingdom,2021-12-28,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Montserrat,United Kingdom,2021-12-27,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Northern Ireland,United Kingdom,2021-12-27,54.7877,-6.4923,POINT(-6.4923 54.7877),367181,2962,,,,,"Northern Ireland, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-27,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
British Virgin Islands,United Kingdom,2021-12-27,18.4207,-64.64,POINT(-64.64 18.4207),3071,39,,,,,"British Virgin Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-12-27,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
Gibraltar,United Kingdom,2021-12-27,36.1408,-5.3536,POINT(-5.3536 36.1408),8220,100,,,,,"Gibraltar, United Kingdom"
Bermuda,United Kingdom,2021-12-27,32.3078,-64.7505,POINT(-64.7505 32.3078),6014,106,,,,,"Bermuda, United Kingdom"
Unknown,United Kingdom,2021-12-27,,,,0,0,,,,,"Unknown, United Kingdom"
Wales,United Kingdom,2021-12-27,52.1307,-3.7837,POINT(-3.7837 52.1307),582378,6548,,,,,"Wales, United Kingdom"
England,United Kingdom,2021-12-27,52.3555,-1.1743,POINT(-1.1743 52.3555),10429274,128671,,,,,"England, United Kingdom"
Isle of Man,United Kingdom,2021-12-27,54.2361,-4.5481,POINT(-4.5481 54.2361),13451,67,,,,,"Isle of Man, United Kingdom"
Channel Islands,United Kingdom,2021-12-27,49.3723,-2.3644,POINT(-2.3644 49.3723),23627,112,,,,,"Channel Islands, United Kingdom"
Scotland,United Kingdom,2021-12-27,56.4907,-4.2026,POINT(-4.2026 56.4907),831158,9822,,,,,"Scotland, United Kingdom"
Anguilla,United Kingdom,2021-12-27,18.2206,-63.0686,POINT(-63.0686 18.2206),1646,5,,,,,"Anguilla, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-27,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3276,26,,,,,"Turks and Caicos Islands, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-27,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-12-26,54.7877,-6.4923,POINT(-6.4923 54.7877),367181,2962,,,,,"Northern Ireland, United Kingdom"
Scotland,United Kingdom,2021-12-26,56.4907,-4.2026,POINT(-4.2026 56.4907),831158,9822,,,,,"Scotland, United Kingdom"
Anguilla,United Kingdom,2021-12-26,18.2206,-63.0686,POINT(-63.0686 18.2206),1646,5,,,,,"Anguilla, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-26,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3235,26,,,,,"Turks and Caicos Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-26,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Gibraltar,United Kingdom,2021-12-26,36.1408,-5.3536,POINT(-5.3536 36.1408),8142,100,,,,,"Gibraltar, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-26,18.4207,-64.64,POINT(-64.64 18.4207),3016,39,,,,,"British Virgin Islands, United Kingdom"
Wales,United Kingdom,2021-12-26,52.1307,-3.7837,POINT(-3.7837 52.1307),577043,6545,,,,,"Wales, United Kingdom"
Channel Islands,United Kingdom,2021-12-26,49.3723,-2.3644,POINT(-2.3644 49.3723),23627,112,,,,,"Channel Islands, United Kingdom"
Isle of Man,United Kingdom,2021-12-26,54.2361,-4.5481,POINT(-4.5481 54.2361),13438,67,,,,,"Isle of Man, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-26,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Unknown,United Kingdom,2021-12-26,,,,0,0,,,,,"Unknown, United Kingdom"
Bermuda,United Kingdom,2021-12-26,32.3078,-64.7505,POINT(-64.7505 32.3078),6014,106,,,,,"Bermuda, United Kingdom"
England,United Kingdom,2021-12-26,52.3555,-1.1743,POINT(-1.1743 52.3555),10115910,128528,,,,,"England, United Kingdom"
Montserrat,United Kingdom,2021-12-26,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Cayman Islands,United Kingdom,2021-12-26,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-25,18.4207,-64.64,POINT(-64.64 18.4207),3016,39,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-12-25,32.3078,-64.7505,POINT(-64.7505 32.3078),6014,106,,,,,"Bermuda, United Kingdom"
England,United Kingdom,2021-12-25,52.3555,-1.1743,POINT(-1.1743 52.3555),10115910,128528,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-12-25,49.3723,-2.3644,POINT(-2.3644 49.3723),23627,112,,,,,"Channel Islands, United Kingdom"
Northern Ireland,United Kingdom,2021-12-25,54.7877,-6.4923,POINT(-6.4923 54.7877),367181,2962,,,,,"Northern Ireland, United Kingdom"
Scotland,United Kingdom,2021-12-25,56.4907,-4.2026,POINT(-4.2026 56.4907),831158,9822,,,,,"Scotland, United Kingdom"
Unknown,United Kingdom,2021-12-25,,,,0,0,,,,,"Unknown, United Kingdom"
Anguilla,United Kingdom,2021-12-25,18.2206,-63.0686,POINT(-63.0686 18.2206),1646,5,,,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-12-25,52.1307,-3.7837,POINT(-3.7837 52.1307),577043,6545,,,,,"Wales, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-25,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-25,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3235,26,,,,,"Turks and Caicos Islands, United Kingdom"
Montserrat,United Kingdom,2021-12-25,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-12-25,36.1408,-5.3536,POINT(-5.3536 36.1408),8142,100,,,,,"Gibraltar, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-25,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Isle of Man,United Kingdom,2021-12-25,54.2361,-4.5481,POINT(-4.5481 54.2361),13438,67,,,,,"Isle of Man, United Kingdom"
Cayman Islands,United Kingdom,2021-12-25,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-24,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3219,26,,,,,"Turks and Caicos Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-24,18.4207,-64.64,POINT(-64.64 18.4207),3016,39,,,,,"British Virgin Islands, United Kingdom"
Channel Islands,United Kingdom,2021-12-24,49.3723,-2.3644,POINT(-2.3644 49.3723),23627,112,,,,,"Channel Islands, United Kingdom"
Isle of Man,United Kingdom,2021-12-24,54.2361,-4.5481,POINT(-4.5481 54.2361),13425,67,,,,,"Isle of Man, United Kingdom"
Unknown,United Kingdom,2021-12-24,,,,0,0,,,,,"Unknown, United Kingdom"
Gibraltar,United Kingdom,2021-12-24,36.1408,-5.3536,POINT(-5.3536 36.1408),8084,100,,,,,"Gibraltar, United Kingdom"
Northern Ireland,United Kingdom,2021-12-24,54.7877,-6.4923,POINT(-6.4923 54.7877),367181,2962,,,,,"Northern Ireland, United Kingdom"
Anguilla,United Kingdom,2021-12-24,18.2206,-63.0686,POINT(-63.0686 18.2206),1646,5,,,,,"Anguilla, United Kingdom"
Montserrat,United Kingdom,2021-12-24,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Scotland,United Kingdom,2021-12-24,56.4907,-4.2026,POINT(-4.2026 56.4907),831158,9822,,,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-24,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
England,United Kingdom,2021-12-24,52.3555,-1.1743,POINT(-1.1743 52.3555),10115910,128528,,,,,"England, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-24,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Bermuda,United Kingdom,2021-12-24,32.3078,-64.7505,POINT(-64.7505 32.3078),6014,106,,,,,"Bermuda, United Kingdom"
Cayman Islands,United Kingdom,2021-12-24,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
Wales,United Kingdom,2021-12-24,52.1307,-3.7837,POINT(-3.7837 52.1307),577043,6545,,,,,"Wales, United Kingdom"
Gibraltar,United Kingdom,2021-12-23,36.1408,-5.3536,POINT(-5.3536 36.1408),8014,100,,,,,"Gibraltar, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-23,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Isle of Man,United Kingdom,2021-12-23,54.2361,-4.5481,POINT(-4.5481 54.2361),13401,67,,,,,"Isle of Man, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-23,18.4207,-64.64,POINT(-64.64 18.4207),3016,39,,,,,"British Virgin Islands, United Kingdom"
Wales,United Kingdom,2021-12-23,52.1307,-3.7837,POINT(-3.7837 52.1307),570288,6535,,,,,"Wales, United Kingdom"
Scotland,United Kingdom,2021-12-23,56.4907,-4.2026,POINT(-4.2026 56.4907),824088,9812,,,,,"Scotland, United Kingdom"
Cayman Islands,United Kingdom,2021-12-23,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-23,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Bermuda,United Kingdom,2021-12-23,32.3078,-64.7505,POINT(-64.7505 32.3078),6014,106,,,,,"Bermuda, United Kingdom"
England,United Kingdom,2021-12-23,52.3555,-1.1743,POINT(-1.1743 52.3555),10011650,128414,,,,,"England, United Kingdom"
Northern Ireland,United Kingdom,2021-12-23,54.7877,-6.4923,POINT(-6.4923 54.7877),363895,2959,,,,,"Northern Ireland, United Kingdom"
Channel Islands,United Kingdom,2021-12-23,49.3723,-2.3644,POINT(-2.3644 49.3723),23188,112,,,,,"Channel Islands, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-23,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3208,26,,,,,"Turks and Caicos Islands, United Kingdom"
Anguilla,United Kingdom,2021-12-23,18.2206,-63.0686,POINT(-63.0686 18.2206),1629,5,,,,,"Anguilla, United Kingdom"
Montserrat,United Kingdom,2021-12-23,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Unknown,United Kingdom,2021-12-23,,,,0,0,,,,,"Unknown, United Kingdom"
Bermuda,United Kingdom,2021-12-22,32.3078,-64.7505,POINT(-64.7505 32.3078),5917,106,,,,,"Bermuda, United Kingdom"
Northern Ireland,United Kingdom,2021-12-22,54.7877,-6.4923,POINT(-6.4923 54.7877),360668,2958,,,,,"Northern Ireland, United Kingdom"
Unknown,United Kingdom,2021-12-22,,,,0,0,,,,,"Unknown, United Kingdom"
Isle of Man,United Kingdom,2021-12-22,54.2361,-4.5481,POINT(-4.5481 54.2361),13364,67,,,,,"Isle of Man, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-22,18.4207,-64.64,POINT(-64.64 18.4207),2886,39,,,,,"British Virgin Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-12-22,19.3133,-81.2546,POINT(-81.2546 19.3133),8245,9,,,,,"Cayman Islands, United Kingdom"
England,United Kingdom,2021-12-22,52.3555,-1.1743,POINT(-1.1743 52.3555),9905451,128289,,,,,"England, United Kingdom"
Montserrat,United Kingdom,2021-12-22,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-22,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3178,26,,,,,"Turks and Caicos Islands, United Kingdom"
Anguilla,United Kingdom,2021-12-22,18.2206,-63.0686,POINT(-63.0686 18.2206),1629,5,,,,,"Anguilla, United Kingdom"
Scotland,United Kingdom,2021-12-22,56.4907,-4.2026,POINT(-4.2026 56.4907),814359,9801,,,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-22,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
