province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Isle of Man,United Kingdom,2021-06-07,54.2361,-4.5481,POINT(-4.5481 54.2361),1598,29,1562,7,,,"Isle of Man, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-07,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-06-07,52.3555,-1.1743,POINT(-1.1743 52.3555),3944955,112440,0,3832515,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-06-07,49.3723,-2.3644,POINT(-2.3644 49.3723),4076,86,3956,34,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-06-07,19.3133,-81.2546,POINT(-81.2546 19.3133),587,2,575,10,,,"Cayman Islands, United Kingdom"
Unknown,United Kingdom,2021-06-07,,,,0,0,0,0,,,"Unknown, United Kingdom"
British Virgin Islands,United Kingdom,2021-06-07,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-06-07,32.3078,-64.7505,POINT(-64.7505 32.3078),2497,33,2455,9,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-06-07,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Unknown,United Kingdom,2021-06-06,,,,0,0,0,0,,,"Unknown, United Kingdom"
Wales,United Kingdom,2021-06-06,52.1307,-3.7837,POINT(-3.7837 52.1307),213091,5569,0,207522,,,"Wales, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-06-06,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2421,17,2387,17,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-06-06,56.4907,-4.2026,POINT(-4.2026 56.4907),240528,7677,0,232851,,,"Scotland, United Kingdom"
Northern Ireland,United Kingdom,2021-06-06,54.7877,-6.4923,POINT(-6.4923 54.7877),123132,2154,0,120978,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-06-06,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-06-06,36.1408,-5.3536,POINT(-5.3536 36.1408),4300,94,4197,9,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-06,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
Isle of Man,United Kingdom,2021-06-06,54.2361,-4.5481,POINT(-4.5481 54.2361),1598,29,1562,7,,,"Isle of Man, United Kingdom"
England,United Kingdom,2021-06-06,52.3555,-1.1743,POINT(-1.1743 52.3555),3940141,112440,0,3827701,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-06-06,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-06-06,19.3133,-81.2546,POINT(-81.2546 19.3133),587,2,575,10,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-06-06,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-06-06,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2451,10,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-06-06,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-06,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
British Virgin Islands,United Kingdom,2021-06-05,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-05,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
Northern Ireland,United Kingdom,2021-06-05,54.7877,-6.4923,POINT(-6.4923 54.7877),123063,2154,0,120909,,,"Northern Ireland, United Kingdom"
Wales,United Kingdom,2021-06-05,52.1307,-3.7837,POINT(-3.7837 52.1307),212999,5569,0,207430,,,"Wales, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-06-05,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2420,17,2386,17,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-06-05,56.4907,-4.2026,POINT(-4.2026 56.4907),239753,7677,0,232076,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-05,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Montserrat,United Kingdom,2021-06-05,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-06-05,54.2361,-4.5481,POINT(-4.5481 54.2361),1597,29,1562,6,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-06-05,36.1408,-5.3536,POINT(-5.3536 36.1408),4300,94,4194,12,,,"Gibraltar, United Kingdom"
England,United Kingdom,2021-06-05,52.3555,-1.1743,POINT(-1.1743 52.3555),3935854,112436,0,3823418,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-06-05,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-06-05,19.3133,-81.2546,POINT(-81.2546 19.3133),587,2,575,10,,,"Cayman Islands, United Kingdom"
Bermuda,United Kingdom,2021-06-05,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2451,10,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-06-05,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Unknown,United Kingdom,2021-06-05,,,,0,0,0,0,,,"Unknown, United Kingdom"
Wales,United Kingdom,2021-06-04,52.1307,-3.7837,POINT(-3.7837 52.1307),212999,5569,0,207430,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-06-04,,,,0,0,0,0,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-06-04,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2419,17,2386,16,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-06-04,56.4907,-4.2026,POINT(-4.2026 56.4907),238893,7676,0,231217,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-04,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-06-04,54.7877,-6.4923,POINT(-6.4923 54.7877),122968,2154,0,120814,,,"Northern Ireland, United Kingdom"
Isle of Man,United Kingdom,2021-06-04,54.2361,-4.5481,POINT(-4.5481 54.2361),1597,29,1562,6,,,"Isle of Man, United Kingdom"
Montserrat,United Kingdom,2021-06-04,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-06-04,36.1408,-5.3536,POINT(-5.3536 36.1408),4300,94,4194,12,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-04,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-06-04,52.3555,-1.1743,POINT(-1.1743 52.3555),3931158,112424,0,3818734,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-06-04,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-06-04,19.3133,-81.2546,POINT(-81.2546 19.3133),584,2,571,11,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-06-04,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-06-04,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2451,10,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-06-04,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-06-03,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2418,17,2386,15,,,"Turks and Caicos Islands, United Kingdom"
England,United Kingdom,2021-06-03,52.3555,-1.1743,POINT(-1.1743 52.3555),3926154,112415,0,3813739,,,"England, United Kingdom"
Montserrat,United Kingdom,2021-06-03,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Wales,United Kingdom,2021-06-03,52.1307,-3.7837,POINT(-3.7837 52.1307),212928,5569,0,207359,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-06-03,,,,0,0,0,0,,,"Unknown, United Kingdom"
Scotland,United Kingdom,2021-06-03,56.4907,-4.2026,POINT(-4.2026 56.4907),237901,7674,0,230227,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-03,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-06-03,54.7877,-6.4923,POINT(-6.4923 54.7877),122895,2154,0,120741,,,"Northern Ireland, United Kingdom"
Isle of Man,United Kingdom,2021-06-03,54.2361,-4.5481,POINT(-4.5481 54.2361),1595,29,1562,4,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-06-03,36.1408,-5.3536,POINT(-5.3536 36.1408),4299,94,4194,11,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-03,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
Channel Islands,United Kingdom,2021-06-03,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-06-03,19.3133,-81.2546,POINT(-81.2546 19.3133),584,2,571,11,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-06-03,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-06-03,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2444,17,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-06-03,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-06-02,52.1307,-3.7837,POINT(-3.7837 52.1307),212879,5569,0,207310,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-06-02,,,,0,0,0,0,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-06-02,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2418,17,2386,15,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-06-02,56.4907,-4.2026,POINT(-4.2026 56.4907),237066,7670,0,229396,,,"Scotland, United Kingdom"
Northern Ireland,United Kingdom,2021-06-02,54.7877,-6.4923,POINT(-6.4923 54.7877),122815,2153,0,120662,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-06-02,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-06-02,54.2361,-4.5481,POINT(-4.5481 54.2361),1594,29,1562,3,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-06-02,36.1408,-5.3536,POINT(-5.3536 36.1408),4298,94,4194,10,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-02,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-06-02,52.3555,-1.1743,POINT(-1.1743 52.3555),3921939,112402,0,3809537,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-06-02,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-06-02,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-06-02,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2441,20,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-06-02,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-02,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Cayman Islands,United Kingdom,2021-06-02,19.3133,-81.2546,POINT(-81.2546 19.3133),584,2,571,11,,,"Cayman Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-06-01,19.3133,-81.2546,POINT(-81.2546 19.3133),584,2,571,11,,,"Cayman Islands, United Kingdom"
Channel Islands,United Kingdom,2021-06-01,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
Isle of Man,United Kingdom,2021-06-01,54.2361,-4.5481,POINT(-4.5481 54.2361),1594,29,1562,3,,,"Isle of Man, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-06-01,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
British Virgin Islands,United Kingdom,2021-06-01,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Northern Ireland,United Kingdom,2021-06-01,54.7877,-6.4923,POINT(-6.4923 54.7877),122731,2153,0,120578,,,"Northern Ireland, United Kingdom"
Anguilla,United Kingdom,2021-06-01,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-06-01,52.1307,-3.7837,POINT(-3.7837 52.1307),212796,5569,0,207227,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-06-01,,,,0,0,0,0,,,"Unknown, United Kingdom"
Scotland,United Kingdom,2021-06-01,56.4907,-4.2026,POINT(-4.2026 56.4907),236389,7669,0,228720,,,"Scotland, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-06-01,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2417,17,2381,19,,,"Turks and Caicos Islands, United Kingdom"
Montserrat,United Kingdom,2021-06-01,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-06-01,36.1408,-5.3536,POINT(-5.3536 36.1408),4296,94,4193,9,,,"Gibraltar, United Kingdom"
England,United Kingdom,2021-06-01,52.3555,-1.1743,POINT(-1.1743 52.3555),3918522,112391,0,3806131,,,"England, United Kingdom"
Bermuda,United Kingdom,2021-06-01,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2441,20,,,"Bermuda, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-01,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Wales,United Kingdom,2021-05-31,52.1307,-3.7837,POINT(-3.7837 52.1307),212702,5569,0,207133,,,"Wales, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-05-31,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2417,17,2381,19,,,"Turks and Caicos Islands, United Kingdom"
Gibraltar,United Kingdom,2021-05-31,36.1408,-5.3536,POINT(-5.3536 36.1408),4295,94,4193,8,,,"Gibraltar, United Kingdom"
England,United Kingdom,2021-05-31,52.3555,-1.1743,POINT(-1.1743 52.3555),3916049,112391,0,3803658,,,"England, United Kingdom"
Montserrat,United Kingdom,2021-05-31,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Unknown,United Kingdom,2021-05-31,,,,0,0,0,0,,,"Unknown, United Kingdom"
Scotland,United Kingdom,2021-05-31,56.4907,-4.2026,POINT(-4.2026 56.4907),235911,7669,0,228242,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-05-31,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-05-31,54.7877,-6.4923,POINT(-6.4923 54.7877),122677,2153,0,120524,,,"Northern Ireland, United Kingdom"
Isle of Man,United Kingdom,2021-05-31,54.2361,-4.5481,POINT(-4.5481 54.2361),1592,29,1561,2,,,"Isle of Man, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-05-31,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
Channel Islands,United Kingdom,2021-05-31,49.3723,-2.3644,POINT(-2.3644 49.3723),4066,86,3956,24,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-05-31,19.3133,-81.2546,POINT(-81.2546 19.3133),584,2,571,11,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-05-31,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-05-31,32.3078,-64.7505,POINT(-64.7505 32.3078),2494,33,2441,20,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-05-31,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-05-30,52.1307,-3.7837,POINT(-3.7837 52.1307),212702,5569,0,207133,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-05-30,,,,0,0,0,0,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-05-30,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2415,17,2381,17,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-05-30,56.4907,-4.2026,POINT(-4.2026 56.4907),235421,7668,0,227753,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-05-30,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-05-30,54.7877,-6.4923,POINT(-6.4923 54.7877),122638,2153,0,120485,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-05-30,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-05-30,54.2361,-4.5481,POINT(-4.5481 54.2361),1592,29,1561,2,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-05-30,36.1408,-5.3536,POINT(-5.3536 36.1408),4293,94,4192,7,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-05-30,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-05-30,52.3555,-1.1743,POINT(-1.1743 52.3555),3913295,112391,0,3800904,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-05-30,49.3723,-2.3644,POINT(-2.3644 49.3723),4065,86,3956,23,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-05-30,19.3133,-81.2546,POINT(-81.2546 19.3133),581,2,564,15,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-05-30,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-05-30,32.3078,-64.7505,POINT(-64.7505 32.3078),2491,32,2428,31,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-05-30,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-05-29,52.1307,-3.7837,POINT(-3.7837 52.1307),212672,5569,0,207103,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-05-29,,,,0,0,0,0,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-05-29,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2412,17,2381,14,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-05-29,56.4907,-4.2026,POINT(-4.2026 56.4907),234895,7668,0,227227,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-05-29,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-05-29,54.7877,-6.4923,POINT(-6.4923 54.7877),122575,2153,0,120422,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-05-29,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-05-29,54.2361,-4.5481,POINT(-4.5481 54.2361),1592,29,1561,2,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-05-29,36.1408,-5.3536,POINT(-5.3536 36.1408),4293,94,4192,7,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-05-29,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-05-29,52.3555,-1.1743,POINT(-1.1743 52.3555),3910803,112385,0,3798418,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-05-29,49.3723,-2.3644,POINT(-2.3644 49.3723),4065,86,3956,23,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-05-29,19.3133,-81.2546,POINT(-81.2546 19.3133),581,2,564,15,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-05-29,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-05-29,32.3078,-64.7505,POINT(-64.7505 32.3078),2491,32,2423,36,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-05-29,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Wales,United Kingdom,2021-05-28,52.1307,-3.7837,POINT(-3.7837 52.1307),212672,5569,0,207103,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-05-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-05-28,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2411,17,2380,14,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-05-28,56.4907,-4.2026,POINT(-4.2026 56.4907),234312,7668,0,226644,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-05-28,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-05-28,54.7877,-6.4923,POINT(-6.4923 54.7877),122507,2152,0,120355,,,"Northern Ireland, United Kingdom"
Isle of Man,United Kingdom,2021-05-28,54.2361,-4.5481,POINT(-4.5481 54.2361),1592,29,1561,2,,,"Isle of Man, United Kingdom"
Montserrat,United Kingdom,2021-05-28,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-05-28,36.1408,-5.3536,POINT(-5.3536 36.1408),4293,94,4192,7,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-05-28,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-05-28,52.3555,-1.1743,POINT(-1.1743 52.3555),3908214,112379,0,3795835,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-05-28,49.3723,-2.3644,POINT(-2.3644 49.3723),4065,86,3956,23,,,"Channel Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-05-28,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-05-28,19.3133,-81.2546,POINT(-81.2546 19.3133),581,2,564,15,,,"Cayman Islands, United Kingdom"
Bermuda,United Kingdom,2021-05-28,32.3078,-64.7505,POINT(-64.7505 32.3078),2491,32,2423,36,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-05-28,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-05-27,21.694000000000006,-71.7979,POINT(-71.7979 21.694),2411,17,2380,14,,,"Turks and Caicos Islands, United Kingdom"
Wales,United Kingdom,2021-05-27,52.1307,-3.7837,POINT(-3.7837 52.1307),212640,5569,0,207071,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-05-27,,,,0,0,0,0,,,"Unknown, United Kingdom"
Scotland,United Kingdom,2021-05-27,56.4907,-4.2026,POINT(-4.2026 56.4907),233671,7666,0,226005,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-05-27,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-05-27,54.7877,-6.4923,POINT(-6.4923 54.7877),122432,2152,0,120280,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-05-27,16.742498,-62.187366,POINT(-62.187366 16.742498),20,1,19,0,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-05-27,54.2361,-4.5481,POINT(-4.5481 54.2361),1591,29,1561,1,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-05-27,36.1408,-5.3536,POINT(-5.3536 36.1408),4292,94,4192,6,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-05-27,-51.7963,-59.5236,POINT(-59.5236 -51.7963),63,0,63,0,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-05-27,52.3555,-1.1743,POINT(-1.1743 52.3555),3904934,112371,0,3792563,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-05-27,49.3723,-2.3644,POINT(-2.3644 49.3723),4065,86,3956,23,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-05-27,19.3133,-81.2546,POINT(-81.2546 19.3133),581,2,564,15,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-05-27,18.4207,-64.64,POINT(-64.64 18.4207),248,1,209,38,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-05-27,32.3078,-64.7505,POINT(-64.7505 32.3078),2491,32,2423,36,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-05-27,18.2206,-63.0686,POINT(-63.0686 18.2206),109,0,109,0,,,"Anguilla, United Kingdom"
