province_state,date,confirmed,deaths,active
Colorado,2020-07-14,193,6,187
Iowa,2020-07-14,82,4,78
Georgia,2020-07-14,11882,187,11695
South Dakota,2020-07-14,1,0,1
Georgia,2020-07-14,785,41,744
Alaska,2020-07-14,2,0,2
Alabama,2020-07-14,367,23,344
Texas,2020-07-14,776,11,765
North Carolina,2020-07-14,430,4,426
Virginia,2020-07-14,89,1,88
Georgia,2020-07-14,3928,65,3863
Nebraska,2020-07-14,1627,47,1580
Texas,2020-07-14,2,1,1
Tennessee,2020-07-14,514,4,510
Florida,2020-07-14,439,2,437
Illinois,2020-07-14,7,0,7
Indiana,2020-07-14,1779,101,1678
Iowa,2020-07-14,207,1,206
Kansas,2020-07-14,33,0,33
Nebraska,2020-07-14,73,12,61
New York,2020-07-14,6,0,6
Ohio,2020-07-14,7179,208,6971
Tennessee,2020-07-14,3648,38,3610
Texas,2020-07-14,34,1,33
South Dakota,2020-07-14,13,0,13
Massachusetts,2020-07-14,7039,679,6360
Massachusetts,2020-07-14,1012,117,895
West Virginia,2020-07-14,44,1,43
South Carolina,2020-07-14,120,3,117
Virginia,2020-07-14,568,4,564
Georgia,2020-07-14,236,33,203
Illinois,2020-07-14,21,1,20
Indiana,2020-07-14,472,36,436
Iowa,2020-07-14,63,1,62
Kentucky,2020-07-14,32,0,32
Maine,2020-07-14,18,1,17
Mississippi,2020-07-14,158,13,145
Ohio,2020-07-14,92,1,91
Tennessee,2020-07-14,12,0,12
West Virginia,2020-07-14,46,0,46
South Dakota,2020-07-14,7,0,7
Virginia,2020-07-14,486,31,455
Texas,2020-07-14,38,2,36
South Dakota,2020-07-14,14,0,14
Georgia,2020-07-14,114,5,109
Florida,2020-07-14,613,4,609
Tennessee,2020-07-14,456,4,452
Texas,2020-07-14,6,0,6
Illinois,2020-07-14,1,0,1
Iowa,2020-07-14,92,0,92
Kentucky,2020-07-14,286,6,280
Ohio,2020-07-14,125,12,113
Tennessee,2020-07-14,142,7,135
Texas,2020-07-14,404,5,399
New Mexico,2020-07-14,1,0,1
West Virginia,2020-07-14,47,0,47
Maryland,2020-07-14,1311,66,1245
Kentucky,2020-07-14,45,2,43
Nebraska,2020-07-14,1,0,1
Oklahoma,2020-07-14,3,0,3
North Carolina,2020-07-14,804,32,772
Oregon,2020-07-14,2,0,2
Kansas,2020-07-14,2,0,2
Oklahoma,2020-07-14,2,0,2
Georgia,2020-07-14,465,13,452
Texas,2020-07-14,49027,473,48554
Indiana,2020-07-14,220,22,198
Iowa,2020-07-14,63,0,63
Kentucky,2020-07-14,82,0,82
Mississippi,2020-07-14,1231,16,1215
Missouri,2020-07-14,31,0,31
Ohio,2020-07-14,13,1,12
Texas,2020-07-14,451,31,420
West Virginia,2020-07-14,126,1,125
Virginia,2020-07-14,992,28,964
Georgia,2020-07-14,121,0,121
Kentucky,2020-07-14,50,0,50
Connecticut,2020-07-14,11950,1394,10556
Texas,2020-07-14,59,2,57
Kansas,2020-07-14,91,1,90
Kansas,2020-07-14,33,0,33
Oklahoma,2020-07-14,17,0,17
Texas,2020-07-14,8,0,8
Hawaii,2020-07-14,105,0,105
Tennessee,2020-07-14,100,2,98
Nebraska,2020-07-14,0,0,0
Texas,2020-07-14,3643,11,3632
North Carolina,2020-07-14,138,0,138
Tennessee,2020-07-14,150,3,147
Georgia,2020-07-14,85,3,82
Texas,2020-07-14,22,0,22
Arkansas,2020-07-14,96,1,95
Illinois,2020-07-14,8,0,8
Kentucky,2020-07-14,214,3,211
North Carolina,2020-07-14,973,51,922
Tennessee,2020-07-14,90,0,90
Texas,2020-07-14,319,5,314
Indiana,2020-07-14,1482,100,1382
